"id_date","date_visit"
1,"2022-07-04"
2,"2022-07-04"
3,"2022-07-05"
4,"2022-07-05"
5,"2022-07-07"
6,"2022-07-06"
7,"2022-07-06"
8,"2022-07-06"
9,"2022-05-26"
10,"2022-05-26"
11,"2022-05-26"
12,"2022-05-26"
13,"2022-05-24"
14,"2022-05-24"
15,"2022-05-24"
16,"2022-05-25"
17,"2022-05-23"
18,"2022-05-23"
19,"2022-05-23"
20,"2022-05-24"
21,"2022-05-23"
22,"2022-05-23"
23,"2022-05-23"
24,"2022-05-24"
25,"2022-05-24"
26,"2022-05-25"
27,"2022-05-25"
28,"2022-05-25"
29,"2022-06-27"
30,"2022-06-27"
31,"2022-06-28"
32,"2022-06-28"
33,"2022-06-29"
34,"2022-06-29"
35,"2022-06-30"
36,"2022-06-30"
37,"2022-06-30"
38,"2022-06-28"
39,"2022-06-28"
40,"2022-06-28"
41,"2022-06-27"
42,"2022-06-27"
43,"2022-06-29"
44,"2022-06-29"
45,"2022-06-29"
46,"2022-06-30"
47,"2022-05-31"
48,"2022-05-31"
49,"2022-05-31"
50,"2022-06-01"
51,"2022-06-01"
52,"2022-05-31"
53,"2022-05-30"
54,"2022-05-30"
55,"2022-05-30"
56,"2022-05-31"
57,"2022-03-30"
58,"2022-03-30"
59,"2022-03-29"
60,"2022-03-28"
61,"2022-03-29"
62,"2022-03-29"
63,"2022-03-28"
64,"2022-03-28"
65,"2022-03-29"
66,"2022-03-29"
67,"2022-03-28"
68,"2022-04-04"
69,"2022-04-04"
70,"2022-04-04"
71,"2022-04-05"
72,"2022-04-05"
73,"2022-04-07"
74,"2022-04-05"
75,"2022-04-06"
76,"2022-04-06"
77,"2022-04-07"
78,"2022-06-06"
79,"2022-06-09"
80,"2022-06-06"
81,"2022-06-06"
82,"2022-06-07"
83,"2022-06-07"
84,"2022-06-08"
85,"2022-06-08"
86,"2022-06-08"
87,"2022-06-09"
88,"2022-06-13"
89,"2022-06-13"
90,"2022-06-14"
91,"2022-06-14"
92,"2022-06-15"
93,"2022-06-16"
94,"2022-06-16"
95,"2022-06-16"
96,"2022-06-20"
97,"2022-06-21"
98,"2022-06-24"
99,"2022-06-20"
100,"2022-06-20"
101,"2022-06-21"
102,"2022-06-21"
103,"2022-06-22"
104,"2022-06-22"
105,"2022-06-22"
106,"2022-06-21"
107,"2022-06-21"
108,"2022-06-20"
109,"2022-06-22"
110,"2022-06-23"
111,"2022-06-23"
112,"2022-06-20"
113,"2022-06-22"
114,"2022-04-13"
115,"2022-04-11"
116,"2022-04-11"
117,"2022-04-11"
118,"2022-04-12"
119,"2022-04-12"
120,"2022-04-12"
121,"2022-07-06"
122,"2022-07-06"
123,"2022-07-07"
124,"2022-07-04"
125,"2022-07-04"
126,"2022-07-05"
127,"2022-07-07"
128,"2022-07-05"
129,"2022-03-28"
130,"2022-03-28"
131,"2022-03-28"
132,"2022-03-29"
133,"2022-03-29"
134,"2022-03-29"
135,"2022-03-30"
136,"2022-03-31"
137,"2022-03-31"
138,"2022-03-30"
139,"2022-03-29"
140,"2022-06-03"
141,"2022-06-01"
142,"2022-06-01"
143,"2022-06-02"
144,"2022-06-02"
145,"2022-05-30"
146,"2022-05-30"
147,"2022-05-30"
148,"2022-05-31"
149,"2022-05-31"
150,"2022-06-13"
151,"2022-06-13"
152,"2022-06-13"
153,"2022-06-14"
154,"2022-06-16"
155,"2022-06-14"
156,"2022-06-14"
157,"2022-06-15"
158,"2022-06-15"
159,"2022-06-16"
160,"2022-04-06"
161,"2022-04-06"
162,"2022-04-06"
163,"2022-04-06"
164,"2022-04-04"
165,"2022-04-04"
166,"2022-04-04"
167,"2022-04-04"
168,"2022-04-05"
169,"2022-04-05"
170,"2022-04-05"
171,"2022-04-05"
172,"2022-05-09"
173,"2022-05-09"
174,"2022-05-09"
175,"2022-05-09"
176,"2022-05-09"
177,"2022-05-10"
178,"2022-05-10"
179,"2022-05-10"
180,"2022-05-12"
181,"2022-05-10"
182,"2022-05-10"
183,"2022-05-11"
184,"2022-05-10"
185,"2022-05-10"
186,"2022-05-10"
187,"2022-05-10"
188,"2022-05-09"
189,"2022-05-12"
190,"2022-05-12"
191,"2022-05-09"
192,"2022-05-09"
193,"2022-05-10"
194,"2022-05-10"
195,"2022-05-10"
196,"2022-06-06"
197,"2022-06-10"
198,"2022-06-06"
199,"2022-06-06"
200,"2022-06-07"
201,"2022-06-07"
202,"2022-06-08"
203,"2022-06-08"
204,"2022-06-09"
205,"2022-06-09"
206,"2022-04-13"
207,"2022-04-13"
208,"2022-04-13"
209,"2022-04-14"
210,"2022-04-14"
211,"2022-04-12"
212,"2022-04-12"
213,"2022-04-12"
214,"2022-04-12"
215,"2022-04-11"
216,"2022-04-13"
217,"2022-04-11"
218,"2022-04-11"
219,"2022-04-11"
220,"2022-04-13"
